"state","season","week","year","deaths"
"Florida","2019-20",1,2020,4238
"Florida","2019-20",2,2020,4312
"Florida","2019-20",3,2020,4272
"Florida","2019-20",4,2020,4258
"Florida","2019-20",5,2020,4299
"Florida","2019-20",6,2020,4250
"Florida","2019-20",7,2020,4223
"Florida","2019-20",8,2020,4261
"Florida","2019-20",9,2020,4235
"Florida","2019-20",10,2020,4374
"Florida","2019-20",11,2020,4267
"Florida","2019-20",12,2020,4228
"Florida","2019-20",13,2020,4327
"Florida","2019-20",14,2020,4378
"Florida","2019-20",15,2020,4452
"Florida","2019-20",16,2020,4333
"Florida","2019-20",17,2020,4494
"Florida","2019-20",18,2020,4294
"Florida","2019-20",19,2020,4317
"Florida","2019-20",20,2020,4235
"Florida","2019-20",21,2020,4302
"Florida","2019-20",22,2020,4135
"Florida","2019-20",23,2020,4206
"Florida","2019-20",24,2020,4190
"Florida","2019-20",25,2020,4346
"Florida","2019-20",26,2020,4472
"Florida","2019-20",27,2020,4685
"Florida","2019-20",28,2020,5052
"Florida","2019-20",29,2020,5436
"Florida","2019-20",30,2020,5659
"Florida","2019-20",31,2020,5752
"Florida","2019-20",32,2020,5550
"Florida","2019-20",33,2020,5486
"Florida","2019-20",34,2020,5185
"Florida","2019-20",35,2020,4984
"Florida","2019-20",36,2020,4725
"Florida","2019-20",37,2020,4461
"Florida","2019-20",38,2020,4644
"Florida","2019-20",39,2020,4457
"Florida","2020-21",40,2020,4342
"Florida","2020-21",41,2020,4494
"Florida","2020-21",42,2020,4363
"Florida","2020-21",43,2020,4323
"Florida","2020-21",44,2020,4239
"Florida","2020-21",45,2020,4291
"Florida","2020-21",46,2020,4459
"Florida","2020-21",47,2020,4505
"Florida","2020-21",48,2020,4562
"Florida","2020-21",49,2020,4798
"Florida","2020-21",50,2020,4960
"Florida","2020-21",51,2020,4726
"Florida","2020-21",52,2020,4424
"Florida","2020-21",53,2020,4317
"Florida","2020-21",1,2021,3595
"Florida","2020-21",2,2021,3209
"Florida","2020-21",3,2021,1837
